title,網址,標籤,keywords
小暑為熱浪之始！「健脾祛濕」食療方預防私密處悶熱搔癢,https://www.everydayhealth.com.tw//article/21569,"['節氣養生', '小暑', '夏天', '陰道炎', '白帶', '體濕']","['冬瓜', '白帶', '節氣養生', '小暑', '夏天', '潮宗', '陰道炎', '體濕', '困擾']"
夏天致死率更高！「孩子的書屋」創辦人陳俊朗驟逝，享年55歲,https://www.everydayhealth.com.tw//article/22122,"['保健新聞', '心肌梗塞', '心血管疾病']","['心肌梗塞', '俊朗', '心血管疾病', '孩子', '書屋', '驟逝', '保健新聞']"
腳指甲怎麼剪才不會甲溝炎？皮膚科醫師剪指甲教學看這篇,https://www.everydayhealth.com.tw//article/20041,"['養生保健', '指甲', '凍甲', '指甲倒插', '甲溝炎']","['腳指甲', '甲溝炎', '凍甲', '養生保健', '指甲', '預防', '指甲倒插', '正確', '修剪']"
60歲後「人生末班車」：10種最不想重複的老後生活！,https://www.everydayhealth.com.tw//article/22071,"['養生保健', '老年照護', '退休']","['生活', '末班車', '60', '想過', '養生保健', '退休', '健康', '老年照護']"
女星Ruby確診登革熱！別幫蚊子養小孩，1圖曝家中5大危機,https://www.everydayhealth.com.tw//article/22096,"['保健新聞', '登革熱']","['臉書', '醫院', 'Ruby', '保健新聞', '嚴重', '登革熱']"
50歲後，半夜頻尿變嚴重？攝護腺肥大3個跡象別再輕忽,https://www.everydayhealth.com.tw//article/4911,"['養生保健', '攝護腺', '尿失禁', '尿液', '血尿', '頻尿', '尿毒症']","['頻尿', '跡象', '尿失禁', '肥大', '年紀', '養生保健', '尿毒症', '血尿', '濕鞋', '尿液', '攝護腺']"
咳嗽拖超久？原來是黴菌致肺炎！吹冷氣多1步最重要,https://www.everydayhealth.com.tw//article/22020,"['養生保健', '黴菌', '呼吸', '肺炎', '冷氣', '洗衣機', '除濕', '除濕機', '除黴']","['除濕', '冷氣', '濕度', '空調', '除黴', '絲孢', '除濕機', '酵母菌', '呼吸', '養生保健', '黴菌', '肺炎', '洗衣機']"
夏季午時養心經：跟著太陽、按對穴位，到老心臟都有力,https://www.everydayhealth.com.tw//article/22050,"['中醫養生', '夏天', '養心', '穴道按摩']","['黃金分割', '太陽', '12', '夏天', '養心', '心經', '午時', '穴道按摩', '中醫養生']"
血糖高易罹癌！研究：糖尿病患6種癌症風險都高2倍,https://www.everydayhealth.com.tw//article/22037,"['養生保健', '糖尿病', '血糖', '慢性發炎', '牙周病', '輕鬆控血糖']","['牙周病', '胰島素', '糖尿病', '一種', '血糖', '輕鬆控血糖', '養生保健', '慢性發炎', '發炎']"
回首人生，活得清醒而飽滿：陳文茜的旅行成長清單,https://www.everydayhealth.com.tw//article/22086,"['生活便利貼', '旅遊']","['中國', '農場', '旅遊', '歷史', '紐約', '紐西蘭', '生活便利貼']"
